"","con_threshold","cov_threshold","noise_level","frag_ratio","prevalence","factors","low_contr_AND_correct","high_contr_AND_correct","low_contr_AND_complx","high_contr_AND_complx","low_contr_AND_complete","high_contr_AND_complete","low_contr_AND_nct","high_contr_AND_nct","high_contr_AND_ratio","base_correct","base_complx","base_complete","base_nct","GT_complx","low_corr_sd","high_corr_sd","low_complx_sd","high_complx_sd","low_complete_sd","high_complete_sd","base_corr_sd","base_complx_sd","base_complete_sd","nrow","few_csfs","all_high_contr_AND","all_low_contr_AND","n_low_contr_complx","n_high_contr_complx","GT_high_complx","GT_low_complx"
"40",0.85,0.75,-99,-99,0.7,7,0.191042592996421,0.72334680883319,0.431302327954027,0.618045889407335,0.00239047101333041,0.140998702983139,7.1973252460523,4.45303224013341,0.00383930667572885,0.193901333434415,0.437443813332407,0.00320221360310901,7.17890241909693,8.042853996035,0.279414183057842,0.406078393345981,0.242009933162744,0.271630080543331,0.0380617028184819,0.339379426890376,0.281039204604352,0.247129480976998,0.0455799811561184,49937,63,94,47367,45996,2075,7.30038910505837,8.04981642357001
"41",0.7,0.8,-99,-99,0.7,7,0.509873684406598,0.996478873239437,0.254429398214902,0.224134368450361,0.000202008410803195,0.029449423815621,2.11237559758575,1.08422005386551,0.00418650659461067,0.512686293458135,0.25403852067937,0.000305216634834492,2.10854180034931,8.04282256935416,0.23960420646804,0.057886288733423,0.100545944980445,0.171505338003373,0.00477738100754567,0.16911672125979,0.23705507043541,0.102007204088096,0.00593448907688712,49997,3,1,48435,49812,1557,6.1741357234315,8.04282342587407
"42",0.75,0.8,-99,-99,0.7,7,0.510335792438166,0.98356555912826,0.264374221372389,0.2514218975318,0.000424976766169841,0.060021436227224,3.02227466673797,1.20900321543408,0.00408833816811829,0.512610901180641,0.264373982720285,0.000649643835634398,3.01544607695966,8.04282342587407,0.297429433449185,0.124124039576253,0.114107495516608,0.216796192641969,0.012575299438478,0.237653947330201,0.295921348038398,0.116166109792608,0.0159602101088927,49996,4,3,49063,49454,919,6.12218649517685,8.04318604604645
"43",0.8,0.8,-99,-99,0.7,7,0.327566177282906,0.890694006309148,0.318980698453847,0.385835814512285,0.000980601993395157,0.105283911671924,5.04102923068022,2.40093760953382,0.00252591810503711,0.329252306925688,0.31948198568871,0.00135014815622856,5.03201458702243,8.04235520616076,0.324675181912974,0.297386619450081,0.171326396382898,0.296578082582818,0.0260432226415894,0.306034099887054,0.324601102151034,0.173216863894103,0.030849903717091,49864,136,40,49230,46300,578,6.47791798107256,8.04483782915864
"44",0.85,0.8,-99,-99,0.7,7,0.202254683135171,0.712477463145615,0.457395471579161,0.642860280834964,0.00264287293098095,0.143722823205006,7.14816120766527,4.73328693392725,0.00332990770742747,0.204761654024539,0.462024123124625,0.00344803995194046,7.13196361754661,8.04142595462872,0.293397686579313,0.414514471184741,0.239873852491248,0.268256380788621,0.0402705985767009,0.341572143087952,0.294842602257805,0.243610759094358,0.0476056705080875,49679,321,91,47883,41784,1422,7.25612472160356,8.04821731063967
"45",0.7,0.85,-99,-99,0.7,7,0.500933363085962,0.993324432576769,0.270260548701772,0.232580583991874,0.000163753881974714,0.0307076101468625,2.29336073184519,1.1507137722091,0.00220242014498905,0.502356864129663,0.269979244387091,0.000219335396281152,2.29125040972025,8.04282256935416,0.236215121009156,0.0814853925664985,0.0999695553320432,0.178478463090226,0.00451867075888225,0.172639639545914,0.235059363171883,0.10070906209799,0.00526136674234649,49997,3,1,49248,49660,744,6.17089452603471,8.04282342587407
"46",0.75,0.85,-99,-99,0.7,7,0.515464197979921,0.962923728813559,0.283141518221021,0.271808838292355,0.000470748810061483,0.0656779661016949,3.12803553791672,1.36087570621469,0.00218297371562487,0.516722236924908,0.283101325555097,0.000603102828747356,3.12420888719552,8.04282342587407,0.304157986837634,0.187740872905489,0.115164831379545,0.232444425953814,0.015070487087667,0.247981160895161,0.303366187766783,0.1163555608968,0.0171550737923402,49996,4,6,49524,48983,455,6.07415254237288,8.04324864972995
"47",0.8,0.85,-99,-99,0.7,7,0.317766647097591,0.872033158813263,0.34768626261013,0.420987000117435,0.000983978841694701,0.100349040139616,5.09225871398072,2.79838568935428,0.00197736281421516,0.319133310755374,0.348022686354697,0.00123308917845442,5.08510855502756,8.04017875197153,0.329582132431175,0.312458099014115,0.17193853909429,0.299748825632541,0.0270194386982013,0.299887983924423,0.329803254147123,0.173239670931556,0.0304547475840021,49454,546,48,49072,41799,345,6.56282722513089,8.04272760393475
"48",0.85,0.85,-99,-99,0.7,7,0.193289337447501,0.656441006510131,0.472003182447432,0.679027813185322,0.0023166579817396,0.147228439763002,7.24713787887258,5.34294235973959,0.00231349290584124,0.194992648228925,0.475723523580267,0.00282170066851206,7.23702497296657,8.03502390355435,0.298066118792225,0.432318995628525,0.231580460010488,0.260951275541335,0.0378617483548978,0.341914521578375,0.298986272266678,0.234655803473005,0.0423571757682107,48110,1890,57,47025,32483,819,7.53824884792627,8.03885293321957
"49",0.7,0.7,-99,-99,0.75,7,0.408744216857872,0.998372660699756,0.222422701156567,0.205720915867615,9.15049338372185e-05,0.0219690805532954,1.90484608398823,1.03717256681638,0.00405350048209197,0.411579209027266,0.222339926835289,0.000142144880341084,1.90214268009453,8.04282085641713,0.232901611942158,0.0403156584588609,0.0903032931184423,0.151479874153745,0.00206392153068633,0.146612363198963,0.230903316270079,0.0925806590709075,0.00265011512770945,49999,1,2,47541,49916,2454,6.34052074857608,8.04282256935416
"50",0.75,0.7,-99,-99,0.75,7,0.504924643173968,0.997740963855422,0.217994636616582,0.216723997176827,0.000181499703781146,0.0399096385542169,1.91608382483601,1.04442771084337,0.0033804936670463,0.507169308386506,0.218234384764755,0.000282691745778747,1.91392409936211,8.04282085641713,0.24543910884419,0.0474934881632184,0.0915160744403213,0.178971046763946,0.00397430143200806,0.195820668225972,0.243420995991004,0.0941356031543439,0.00513917734853978,49999,1,3,48671,49868,1325,6.19503012048193,8.04282342587407
"51",0.8,0.7,-99,-99,0.75,7,0.495961351258412,0.996840442338073,0.218884639867605,0.271330100609023,0.000348323555572674,0.102685624012638,3.05152452014627,1.14849921011058,0.00227321713703619,0.497371470213352,0.219627188558356,0.000514541650435686,3.04742521777513,8.04282342587407,0.308224706490188,0.0561654552356637,0.107502641077424,0.261656446811194,0.00972663745747444,0.30378788621146,0.307230451527979,0.110816645989182,0.0121477305633208,49996,4,1,49363,49639,631,6.04581358609795,8.04296429642964
"52",0.85,0.7,-99,-99,0.75,7,0.270811287405121,0.903817914831131,0.283725603640678,0.517566761003515,0.000724393287752693,0.210352422907489,5.81112615433899,2.79955947136564,0.00114123992159936,0.271661530371473,0.285087319973369,0.00106309843135269,5.80586112681201,8.0425902216532,0.316267379183203,0.279150591732342,0.18147420723977,0.342954929897741,0.0206051674788753,0.405974541150734,0.31637613520278,0.184169607397142,0.025926620663931,49988,12,24,49534,48860,419,6.27092511013216,8.04467216395805
"53",0.7,0.75,-99,-99,0.75,7,0.41039418472313,0.997617629541394,0.240530808138738,0.215872376379839,0.000105107658136867,0.0262060750446694,2.01221819596842,1.07074275362319,0.00274089219956544,0.412356551410631,0.240336696061849,0.00014765322588096,2.010301798667,8.04282085641713,0.228402722921896,0.0487658810547399,0.0969453800611552,0.161898771170247,0.0022021419541939,0.159795259159469,0.226880620083004,0.0984568805232059,0.00266740944002304,49999,1,2,48320,49933,1675,6.22572960095295,8.04282256935416
"54",0.75,0.75,-99,-99,0.75,7,0.50484830880278,1,0.237631302938372,0.227383527656156,0.000218071665163593,0.0458015267175573,1.99719938549249,1.03053435114504,0.00227723847159842,0.506457607708574,0.237705170064146,0.000304439009437886,1.99507454274061,8.04282342587407,0.242940822696049,0,0.098178888811676,0.189454109563488,0.00448733307254039,0.209168492804117,0.241383238460024,0.099901170279998,0.00542408118184249,49996,4,0,49079,49903,917,6.04143947655398,8.04282342587407
"55",0.8,0.75,-99,-99,0.75,7,0.489971962175545,0.995402298850575,0.245008620708715,0.283839825814422,0.000464607956707949,0.117241379310345,3.14645985492342,1.13563218390805,0.00173032281663064,0.491082758707304,0.245453879337533,0.000623679219854047,3.14300012218188,8.04282342587407,0.304535535675427,0.0677281873962016,0.115346976025295,0.273246038418849,0.0125790075011195,0.322078108478715,0.303729756043906,0.11758410508974,0.0146250674997365,49996,4,2,49561,49600,433,5.81379310344828,8.04298515821899
